Email;Address;Avatar;Avg. Session Length;Time on App;Time on Website;Length of Membership;Yearly Amount Spent
tracy79@wheeler.net;513 Moore Crescent Apt. 416;;;;;;
Amandaberg;" GU 03655-2219""";Magenta;322.463.499.961.189;1.130.555.143.041.470;37.133.126.759.376.300;17.073.897.286.757.300;32.737.795.258.965.200
brian28@sanchez.org;7446 Mary Ferry;;;;;;
Lake Sherryfurt;" GA 49066-0207""";GhostWhite;3.469.559.119.111.860;11.608.997.070.875.400;3.768.487.727.530.600;31.630.919.310.737.500;51.040.138.845.250.400
leonardhancock@hotmail.com;64147 Alexander Station Apt. 474;;;;;;
East Jasonview;" MN 83788""";SeaShell;3.434.392.190.842.750;11.693.058.197.072.600;36.812.934.125.501.400;34.470.928.961.368.900;51.050.147.847.479.700
davidsonkathleen@gmail.com;70128 Zimmerman Overpass;;;;;;
Robertsshire;" VA 59860""";DarkBlue;33.680.936.949.606.100;11.201.569.884.684.400;3.783.544.772.741.210;2.208.813.678.005.540;4.038.195.198.321.970
nathan84@lowery.net;01242 Stephanie Ways Suite 003;;;;;;
Churchville;" MO 35617""";MediumSeaGreen;3.206.091.439.841.000;12.625.432.642.053.900;35.539.142.427.505.000;5.412.357.839.551.370;627.603.318.713.015
kellydeborah@chan.biz;354 Sanchez Wall Suite 884;;;;;;
Juliabury;" VI 39735""";DarkTurquoise;33.431.097.102.487.100;1.335.063.168.445.930;3.796.597.162.275.130;2.768.851.943.263.100;510.661.792.219.672
lewisjessica@craig-evans.com;4483 Jones Motorway Suite 872;;;;;;
Lake Jamiefurt;" UT 75292""";Tan;3.323.765.998.436.720;13.566.159.613.087.600;36.417.984.796.396.700;37.465.729.731.034.600;5.738.474.377.162.270
katrina56@gmail.com;172 Owen Divide Suite 497;;;;;;
West Richard;" CA 19320""";PaleVioletRed;3.470.252.897.286.150;11.695.736.293.481.300;37.190.267.710.452.500;35.765.259.152.594.600;5.290.490.041.294.300
dale88@hotmail.com;0787 Andrews Ranch Apt. 633;;;;;;
South Chadburgh;" TN 56128""";Cornsilk;3.264.677.668.060.680;11.499.409.061.002.000;3.833.257.633.196.040;4.958.264.472.618.690;5.516.201.454.762.470
cwilson@hotmail.com;680 Jennifer Lodge Apt. 808;;;;;;
Brendachester;" TX 05000-5873""";Teal;33.322.501.051.305.400;12.391.422.991.118.300;36.840.085.729.767.000;2.336.484.668.112.850;456.469.510.066.298
hannahwilson@davidson.com;49791 Rachel Heights Apt. 898;;;;;;
East Drewborough;" OR 55919-9528""";DarkMagenta;3.371.598.091.844.980;12.418.808.324.753.900;35.771.016.191.612.900;2.735.159.567.082.270;4.977.786.422.156.800
